gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,-0.5865948028013173,1,2,1,0,0,0,0,2,0,0,1,2,0.6793350230121485,-0.3216719639580983
0,0,1,1,1.619603946961047,1,2,1,2,2,2,2,0,2,2,0,1,1.4232983091375695,2.3761382368770527
1,0,0,0,-0.3823171407862835,1,2,1,0,0,2,2,2,2,0,1,3,1.3096140317071678,0.0832382165682704
1,0,1,0,-0.137183946368243,1,2,1,2,2,0,0,0,0,0,1,2,0.6542576088730894,0.0819123810066254
1,0,1,0,0.0670937156467907,1,0,2,1,1,1,1,1,1,2,0,1,-1.4990563518674551,-0.7083298082524883
1,0,0,0,-1.281138853652432,1,2,0,0,0,2,0,0,0,0,0,2,-0.3521826119078172,-0.9843908694463284
1,0,0,0,-1.1585722564434118,1,0,2,1,1,1,1,1,1,0,1,2,-1.494040869039643,-0.983794243443588
1,0,1,1,-0.30060607598027,1,0,1,0,0,0,0,2,2,1,1,2,0.8532050943762919,-0.0455888055048975
1,0,1,1,0.1896603128558109,0,1,0,2,0,2,2,0,0,1,1,2,-0.8253098253313994,-0.3342894990530861
1,0,0,0,0.2713713776618244,0,1,0,0,0,2,2,0,0,1,0,3,-0.9807897929935664,-0.4298380485289657
0,1,0,0,0.8024932989009121,1,2,0,2,0,2,0,0,0,2,0,0,-0.1682815748880502,0.3630558118534379
1,1,1,0,0.4347935072738514,1,2,1,0,2,2,0,2,2,0,1,2,1.274505651912485,0.9424680495516432
0,0,1,1,0.8024932989009121,1,2,1,0,0,2,0,2,2,1,0,0,1.215991685588014,1.3343850415738916
1,0,0,0,0.1896603128558109,1,2,1,2,0,0,0,2,0,0,1,2,0.8782825085153511,0.4806132316526237
1,0,1,1,1.0476264933189527,1,2,1,0,2,0,2,2,0,1,1,1,0.9969822687735642,1.3915064570214284
1,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,0,2,0.1844740506680484,-0.9772976491915276
0,0,1,1,-0.0146173491592227,1,2,1,2,0,0,0,2,0,0,0,2,0.8264558526279618,0.2740259538889793
0,0,1,0,-1.0360056592343916,1,0,0,2,0,0,0,0,0,0,1,0,-0.4876006482587366,-0.8514758543914217
1,0,0,0,-0.3414616083832767,1,0,1,0,0,0,2,2,2,0,1,2,1.0404497866146,-0.0704040277670189
0,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,2,0.1744430850124243,-0.9774302327476924
0,0,1,0,1.5787484145580404,1,0,0,0,2,2,2,2,2,2,1,1,0.5288705381777937,1.5129087999493849
0,1,0,0,-0.4231726731892902,1,2,1,0,0,0,0,0,0,0,1,0,0.3182202594096971,-0.26037416649138
0,0,1,1,-1.1585722564434118,1,2,0,0,0,0,0,0,0,0,0,3,-0.4692105445567598,-0.9025426207741132
1,0,1,1,-0.0554728815622295,1,2,1,2,0,2,0,2,0,1,0,0,1.108994718594695,0.3537086711438409
1,0,0,0,0.4756490396768582,1,2,1,2,2,2,0,2,2,0,1,2,1.5587163454884887,1.163816296568268
0,0,0,0,-0.137183946368243,0,1,0,0,0,0,2,0,0,0,1,2,-1.1262387950001091,-0.599080957972944
0,0,0,0,1.5378928821550335,1,2,1,0,2,2,2,0,0,1,1,0,0.8481896115484799,1.813829277924067
0,1,1,0,-0.8317279972193578,1,2,1,0,2,2,0,2,0,0,1,2,1.110666546203965,-0.5398603028861362
0,0,1,1,1.415326284946013,1,2,1,0,0,2,2,2,2,2,1,0,1.3631125152038277,1.9605329828200813
0,1,1,0,1.4561818173490202,1,2,1,0,2,0,0,0,2,0,1,0,0.8264558526279618,1.6996527388070763
1,0,1,1,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,3,0.1677557745753423,-0.9775186217851352
1,0,0,0,-0.8725835296223645,1,0,1,0,2,0,0,0,0,0,0,2,0.3366103631116737,-0.6480042901976428
1,0,0,1,-1.1585722564434118,1,2,1,0,2,0,0,2,2,0,1,2,1.2310381340714494,-0.8472994723722401
0,0,0,0,0.5165045720798649,1,2,1,0,2,0,0,2,0,0,1,1,0.8164248869723383,0.7668169348930477
0,0,1,0,-1.1994277888464184,1,0,2,1,1,1,1,1,1,0,0,3,-1.4723071101191252,-0.9765905368919838
1,0,0,0,-1.1585722564434118,1,0,1,0,0,2,0,0,0,0,1,0,0.3315948802838617,-0.8661484346069591
1,0,0,0,-1.281138853652432,1,0,0,0,0,0,0,0,0,0,1,0,-0.6614707196228798,-0.9884788624280668
0,0,1,1,0.9659154285129392,1,2,0,2,2,0,0,0,2,1,0,0,0.1293037395621181,0.6777870769285891
0,1,0,0,0.1079492480497974,1,2,1,2,0,0,0,2,2,0,1,2,1.142431270780107,0.562527772102921
1,0,1,1,0.7207822340948987,1,2,0,0,0,2,2,2,0,1,1,2,0.1593966365289892,0.5128310358005962
1,0,0,0,-1.2402833212494253,1,0,1,0,0,2,0,2,2,0,0,2,1.0053414068199171,-0.929700152528474
1,0,0,1,-0.8317279972193578,1,0,2,1,1,1,1,1,1,2,0,0,-1.5224619383972433,-0.9145856271257214
0,0,1,1,-0.9134390620253712,1,0,0,0,2,2,0,0,0,0,1,3,-0.3120587492853227,-0.7647662086598418
1,0,1,0,-0.8725835296223645,1,0,2,1,1,1,1,1,1,1,1,3,-1.4823380757747489,-0.9266728279960512
0,0,1,0,-1.0768611916373982,1,0,2,1,1,1,1,1,1,0,0,0,-1.5174464555694316,-0.9437540094819103
1,0,1,0,0.8433488313039189,0,1,0,0,2,2,2,2,2,1,1,2,-0.1482196435768028,0.3988533720178516
1,0,1,1,-0.4231726731892902,1,0,1,0,2,2,0,2,2,1,1,3,1.175867822965519,-0.0846346627953413
0,0,0,0,-1.1994277888464184,1,2,1,0,0,0,0,0,0,0,1,1,0.3416258459394852,-0.8887760281923663
0,0,0,0,-0.3823171407862835,1,2,2,1,1,1,1,1,1,1,0,1,-1.3402327289867473,-0.7364596194187221
0,0,1,0,1.619603946961047,1,2,2,1,1,1,1,1,1,2,0,0,-1.3118116596291467,-0.174460022096787
0,0,0,0,-1.281138853652432,0,1,0,0,0,0,0,0,0,0,0,3,-1.353607349860912,-0.997627127803417
0,0,1,1,-1.2402833212494253,1,0,1,0,0,0,0,0,0,0,0,2,0.1844740506680484,-0.9433783560727776
1,1,1,0,-0.790872464816351,1,0,1,0,2,2,0,2,2,0,1,2,1.1073228909854242,-0.4613487403773942
0,0,1,1,-1.281138853652432,0,1,0,2,0,0,0,0,0,0,0,0,-1.1496443815298976,-0.9949312621614056
1,1,0,0,-1.1994277888464184,1,2,1,0,2,2,0,2,2,0,1,2,1.3413787562833095,-0.8782798299960105
0,1,0,0,-0.137183946368243,1,2,0,2,2,0,0,0,0,0,1,0,-0.2117490927290862,-0.2487289108082651
1,1,1,0,1.0476264933189527,1,2,1,2,2,2,0,2,2,1,1,2,1.4701094821971463,1.7702092879459483
1,0,0,0,-1.0768611916373982,1,0,0,2,0,2,2,2,2,2,1,3,0.5138240896943581,-0.7903548349995893
0,1,0,0,0.4756490396768582,1,0,0,0,0,2,2,2,2,1,0,0,0.3332667078931322,0.4358883787064674
0,0,1,1,1.5378928821550335,0,1,0,0,2,2,2,2,2,1,1,0,-0.216764575556898,0.8093762564218505
1,1,1,0,1.619603946961047,1,2,0,2,2,2,0,2,2,2,1,1,0.6425548156081948,1.6351508387330491
0,1,1,1,-0.0554728815622295,1,0,1,0,0,2,2,2,2,0,1,2,1.1374157879522957,0.2782244331675217
0,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,2,0.1744430850124243,-0.9774302327476924
1,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,2,0,0,2,0.5221832277407111,-0.9728340028006564
1,0,0,0,-1.0768611916373982,1,0,1,0,2,0,0,2,0,0,1,2,0.68435050583996,-0.7921005184890885
0,0,0,0,-1.281138853652432,1,0,2,1,1,1,1,1,1,0,1,3,-1.5207901107879729,-0.999836853739492
1,0,1,0,1.3744707525430069,1,2,1,0,2,2,0,2,2,0,1,1,1.3413787562833095,2.1440949163298253
1,0,0,0,-1.2402833212494253,1,0,0,2,0,0,0,0,0,0,1,2,-0.5711920287222672,-0.9675527578134374
1,0,1,0,1.170193090527973,1,0,1,0,2,2,2,0,2,0,0,1,0.9785921650715876,1.5247529309667462
1,1,0,0,-1.281138853652432,1,2,1,0,0,2,0,2,0,0,1,2,0.7997066108796321,-0.969165857746772
1,0,0,0,0.8024932989009121,1,2,1,2,0,2,2,2,2,2,1,2,1.4851559306805815,1.5245540556324992
0,0,0,0,0.4756490396768582,1,2,1,0,2,2,0,0,0,0,1,0,0.6659604021379835,0.6986247925057757
1,0,1,1,0.8433488313039189,1,2,0,2,0,0,2,0,2,0,0,2,0.2329570513368956,0.6833113917687764
1,1,0,0,-1.281138853652432,1,2,1,0,0,0,0,0,0,0,1,2,0.3633596048600033,-0.9749332424399276
1,0,0,0,-1.1585722564434118,1,0,1,0,0,0,0,2,2,0,1,2,0.7880038176147381,-0.8446036067302286
0,0,0,1,-1.1585722564434118,1,2,2,1,1,1,1,1,1,0,1,3,-1.318498970066229,-0.9711988056079612
1,0,0,0,1.415326284946013,1,2,1,2,2,2,2,2,2,1,1,0,1.787756727958562,2.4405959424323584
0,0,1,1,0.2713713776618244,1,2,2,1,1,1,1,1,1,1,1,3,-1.3602946602979944,-0.6042075221446379
1,0,0,0,-0.30060607598027,1,0,1,0,0,0,0,0,0,0,0,3,0.202864154370025,-0.2273387637470599
1,1,0,0,-1.117716724040405,1,0,0,0,0,2,0,0,0,0,0,2,-0.4859288206494659,-0.9035590947047076
1,0,1,1,0.2713713776618244,1,0,0,2,2,2,0,0,0,1,0,2,-0.1699534024973209,0.0274426366823786
1,0,1,0,-1.0360056592343916,1,0,1,0,0,0,0,0,0,0,1,2,0.1493656708733652,-0.8090491164187832
1,0,0,1,-0.9951501268313848,0,1,0,0,0,0,0,0,0,0,0,3,-1.3168271424569586,-0.913303986082798
0,1,0,0,0.8024932989009121,1,2,1,2,2,2,0,2,2,0,0,1,1.445032068058087,1.5722399413329962
1,0,0,1,-0.9134390620253712,1,2,2,1,1,1,1,1,1,0,0,1,-1.3402327289867473,-0.9094590629540276
1,0,1,1,1.5787484145580404,1,2,0,2,2,2,2,2,2,2,0,2,0.8532050943762919,1.9385020152374144
1,0,0,0,-1.2402833212494253,1,0,1,0,0,0,0,0,0,0,0,1,0.1945050163236719,-0.9462289025303144
1,0,0,0,-1.1585722564434118,1,0,0,0,0,2,2,2,2,0,1,2,0.3182202594096971,-0.8759596177631318
1,0,1,0,1.170193090527973,1,2,0,2,0,2,2,0,2,2,0,1,0.3499849839858382,1.0816807835243634
1,0,0,0,-0.464028205592297,1,2,1,0,0,0,0,0,0,0,0,3,0.3483131563765678,-0.3142472848128865
0,0,1,0,-1.2402833212494253,1,0,0,0,0,0,0,0,0,0,1,1,-0.6781889957155859,-0.9728119055412956
1,0,0,0,1.2519041553339865,1,2,1,0,2,0,0,0,2,1,0,1,0.8548769219855624,1.5661410977494294
1,0,0,0,-0.2597505435772633,1,2,0,2,2,0,0,0,0,1,0,2,-0.1114394361728496,-0.309275401456718
1,0,0,0,-1.281138853652432,1,0,0,0,0,0,0,0,2,0,1,3,-0.3070432664575107,-0.983794243443588
0,0,0,0,-0.30060607598027,0,1,0,0,0,2,2,2,2,1,0,2,-0.3571980947356289,-0.3794562971864575
1,0,1,0,-0.7500169324133442,1,2,0,0,0,0,2,2,0,0,1,1,0.0574151523634817,-0.5755252794943854
0,0,1,1,0.7616377664979054,1,0,0,2,2,2,2,2,2,2,0,1,0.6893659886677721,0.945848930233838
0,0,1,1,-0.7500169324133442,1,2,1,0,0,0,2,2,0,0,1,2,0.8950007846080571,-0.4334399018047679
1,0,1,0,0.7616377664979054,1,2,1,0,2,0,0,0,2,1,1,1,0.8515332667670209,1.030967573291444
0,0,0,0,-1.281138853652432,1,0,2,1,1,1,1,1,1,0,1,3,-1.490697213821102,-0.9994391030709984
0,0,0,0,-0.8725835296223645,1,0,0,0,0,0,2,2,2,0,0,3,0.1878177058865894,-0.6419054466140761
0,0,1,1,-1.2402833212494253,0,1,0,0,0,0,0,0,0,0,1,3,-1.353607349860912,-0.9922574937787548
0,0,1,0,-0.2188950111742565,1,0,1,2,0,0,2,2,2,1,1,1,1.237725444508532,0.1765107483299929
0,0,1,0,-0.464028205592297,1,2,1,2,0,2,0,2,2,0,1,2,1.3045985488793563,-0.0121777493514447
1,1,1,1,1.5787484145580404,1,2,1,2,2,0,0,2,2,0,1,1,1.3447224115018506,2.327435877245962
0,0,0,0,-1.281138853652432,0,1,0,0,0,0,0,0,0,0,0,2,-1.3469200394238294,-0.997538738765974
1,0,1,0,0.9659154285129392,1,2,1,2,0,0,0,2,2,1,1,2,1.192586099058225,1.4288950198598158
0,0,1,1,1.619603946961047,1,0,0,2,2,2,0,0,2,2,0,1,0.1293037395621181,1.1519058737728245
1,1,1,0,-1.0360056592343916,1,2,1,0,0,2,0,2,2,0,1,2,1.1491185812171896,-0.7143181655392512
1,0,0,0,-1.281138853652432,0,1,0,0,0,0,0,0,2,0,1,0,-0.9908207586491898,-0.9928320225221344
0,0,1,0,1.006770960915946,1,2,0,0,2,2,2,2,0,1,0,0,0.3249075698467791,0.9224258353114436
1,0,1,0,0.2305158452588177,1,2,0,0,0,2,2,0,2,1,0,1,0.1376628776084711,0.1713399896395775
1,1,0,0,-0.6683058676073308,0,1,0,0,2,0,0,2,0,0,1,3,-0.8654336879538942,-0.7079541548433556
1,1,0,0,1.2927596877369931,1,2,1,0,0,2,2,2,2,1,0,2,1.244412754945614,1.9473630162410756
1,0,1,1,0.4347935072738514,1,2,1,0,0,2,2,2,2,1,1,1,1.3179731697535209,0.959063091331566
0,1,0,0,-1.1994277888464184,1,0,1,0,0,2,0,0,0,0,0,3,0.3399540183302147,-0.9187399118855424
1,0,0,0,-0.954294594428378,1,2,1,0,0,0,0,0,0,0,1,2,0.3667032600785443,-0.6881550104561241
1,0,0,0,-0.4231726731892902,1,2,1,0,0,0,0,2,2,0,1,1,0.9953104411642936,-0.078314846618167
1,1,0,0,-0.7500169324133442,1,0,1,0,0,0,0,2,2,0,0,1,0.8548769219855624,-0.4488637888385708
0,0,1,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,2,0.1359910499992006,-0.9779384697129896
1,0,1,0,1.619603946961047,1,2,1,0,2,2,2,2,2,2,1,1,1.5286234485216177,2.5104453792716863
1,0,1,0,-1.1994277888464184,1,2,1,0,0,0,2,0,0,0,1,0,0.493762158383111,-0.8971508894900904
1,0,1,1,-0.954294594428378,0,1,0,0,2,0,0,0,0,0,1,2,-1.1680344852318745,-0.8983883360142922
0,0,0,0,1.2927596877369931,1,2,1,0,0,2,0,2,2,1,1,1,1.175867822965519,1.7556029995084932
0,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,0,2,0.125960084343577,-0.978071053269154
1,0,0,0,-0.5865948028013173,1,2,0,0,0,2,2,2,2,1,1,1,0.5723380560188295,-0.378439823255863
1,0,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,2,0.1677557745753423,-0.9775186217851352
0,0,0,0,-1.0768611916373982,1,0,2,1,1,1,1,1,1,2,0,3,-1.5157746279601612,-0.953410511822558
0,1,0,0,-0.9951501268313848,1,2,1,0,0,0,0,0,0,0,1,2,0.3633596048600033,-0.7404813206223784
0,1,0,0,-1.281138853652432,1,0,1,0,0,0,0,0,0,0,1,2,0.1577248089197182,-0.9776512053412998
1,0,0,0,-0.0146173491592227,1,2,1,0,2,0,0,0,0,0,1,0,0.5171677449128992,0.1389454074167193
1,0,0,0,-0.954294594428378,1,0,2,1,1,1,1,1,1,0,0,3,-1.4923690414303723,-0.929523374453588
1,0,0,0,-0.9951501268313848,1,0,0,0,0,0,0,0,2,0,1,1,-0.3388079910336524,-0.8148165011119387
1,0,1,1,1.415326284946013,1,0,0,2,0,2,2,0,2,2,0,3,0.0992108425952469,1.03675705524396
0,0,0,0,-1.281138853652432,1,0,0,0,0,2,0,0,0,0,1,3,-0.4825851654309246,-0.9861144556764668
0,0,1,0,0.6390711692888852,0,1,0,0,2,2,0,0,0,1,0,3,-1.0092108623511664,-0.2993095374850201
0,0,1,1,0.4347935072738514,1,2,1,0,0,2,0,2,2,0,1,0,1.15079040882646,0.8521565505442611
1,0,0,0,0.8433488313039189,1,2,2,1,1,1,1,1,1,1,0,0,-1.3653101431258063,-0.4330421511362743
0,1,1,1,0.3122269100648312,1,2,1,0,0,0,0,2,2,0,1,1,0.9919667859457522,0.6004687664253274
1,0,0,1,0.8433488313039189,1,0,2,1,1,1,1,1,1,2,0,0,-1.5090873175230786,-0.5433295726057739
1,0,0,0,0.2305158452588177,1,0,0,0,0,2,2,0,2,1,1,3,-0.0863620220337905,0.0322819364823828
1,0,0,0,-0.2597505435772633,1,0,2,1,1,1,1,1,1,1,0,1,-1.507415489913808,-0.8063090562580503
0,1,0,0,-1.117716724040405,1,0,1,0,0,0,0,0,0,0,1,3,0.1393347052177416,-0.8676510482434902
1,0,0,0,0.9659154285129392,1,0,0,0,2,2,2,2,2,2,1,1,0.5656507455817469,0.9955677637955236
0,0,0,0,-0.7091614000103375,1,0,2,1,1,1,1,1,1,0,0,0,-1.5207901107879729,-0.8805558477101677
1,0,0,0,-1.281138853652432,1,2,1,0,0,0,0,0,2,0,1,2,0.7261461960717253,-0.970138137158645
1,0,1,1,-1.2402833212494253,1,0,2,1,1,1,1,1,1,1,0,3,-1.5057436623045373,-0.9925447581504449
1,0,0,1,0.8024932989009121,1,2,2,1,1,1,1,1,1,2,0,1,-1.3134834872384171,-0.4186347380330659
0,0,0,0,-1.117716724040405,1,0,0,2,0,0,2,0,0,0,0,2,-0.3571980947356289,-0.8721809864124437
0,0,1,0,0.8024932989009121,1,2,1,0,2,2,0,2,0,0,0,0,0.9936386135550228,1.2127175315336065
1,1,1,0,-0.1780394787712498,1,2,1,0,2,0,2,2,2,0,1,2,1.3681279980316392,0.3165410808990607
0,0,0,0,-0.0554728815622295,1,0,2,1,1,1,1,1,1,2,0,1,-1.4706352825098543,-0.7037556755648132
0,1,0,0,-1.0768611916373982,1,0,1,0,0,2,0,0,0,0,0,2,0.3182202594096971,-0.8165621846014379
0,0,1,0,-1.1585722564434118,1,0,0,2,2,0,0,0,0,0,0,3,-0.3404798186429228,-0.9045313741165806
0,0,1,0,1.415326284946013,1,2,1,0,2,2,0,2,2,1,1,0,1.364784342813098,2.004307653613725
1,0,1,1,0.1896603128558109,1,0,1,0,0,0,0,2,2,1,0,1,0.8799543361246216,0.4268285023685602
1,1,0,0,-0.790872464816351,1,0,1,0,0,0,0,2,2,0,1,2,0.856548749594833,-0.477568128748184
0,0,0,0,-0.8317279972193578,1,0,1,0,0,0,0,0,2,0,0,0,0.4419355024957218,-0.5897559145227079
1,0,1,1,1.619603946961047,1,0,1,2,0,2,2,2,2,2,1,1,1.3380351010647684,2.332496149639573
1,0,1,0,1.170193090527973,0,1,0,2,0,2,2,2,2,2,1,3,-0.0913775048616023,0.6616339803358814
1,0,0,0,0.1896603128558109,1,0,2,1,1,1,1,1,1,1,0,1,-1.4957126966489138,-0.6611521595172887
0,0,1,1,0.2713713776618244,1,2,1,0,0,0,2,2,2,0,1,1,1.1725241677469782,0.6565737079422699
0,0,1,1,-0.9134390620253712,1,0,2,1,1,1,1,1,1,0,1,0,-1.507415489913808,-0.9214578747869144
1,0,0,0,-0.954294594428378,1,0,1,0,0,2,0,2,2,0,1,2,0.975248509853046,-0.6497057791684205
1,0,0,0,-1.281138853652432,0,1,0,0,0,0,0,0,0,0,1,2,-1.3586228326887235,-0.9976934195814992
0,0,0,0,-0.30060607598027,1,2,2,1,1,1,1,1,1,2,0,1,-1.3419045565960177,-0.702540326299972
0,0,1,0,1.4561818173490202,1,2,1,0,0,2,0,2,0,2,1,0,0.8381586458928564,1.6319025416070192
0,0,0,0,-1.1585722564434118,1,0,1,2,0,2,2,0,2,0,1,0,0.9869513031179408,-0.8372894138818207
1,0,0,0,0.5573601044828717,0,1,0,0,2,0,0,0,0,0,0,0,-1.1563316919669802,-0.3984820374960626
0,0,1,1,0.0262381832437839,1,2,2,1,1,1,1,1,1,2,1,3,-1.3502636946423707,-0.6812385682762097
0,0,0,0,-0.6683058676073308,1,0,0,2,0,0,0,0,0,0,1,2,-0.4926161310865484,-0.6715378714168407
0,0,1,1,0.9250598961099324,1,0,1,0,0,0,0,0,0,2,1,1,0.1393347052177416,0.6898079860208366
0,0,1,1,0.5982156368858784,1,0,2,1,1,1,1,1,1,2,0,1,-1.4990563518674551,-0.559084918529988
0,1,0,0,-1.1585722564434118,1,0,1,0,2,2,0,2,2,0,1,1,1.167508684919166,-0.8126951642133069
1,0,1,0,1.2519041553339865,1,2,1,0,2,2,0,2,2,0,1,2,1.254443720601238,1.8395062933012576
0,0,0,0,-1.0768611916373982,1,0,0,2,2,0,0,0,0,0,0,2,-0.2886531627555341,-0.8364497180261122
1,0,0,0,-1.1994277888464184,1,2,1,0,0,0,0,0,2,0,1,2,0.6826786782306895,-0.8913835047969348
0,0,1,0,1.33361522014,1,0,0,2,0,2,0,0,0,0,1,3,-0.3254333701594875,0.6149203740472575
1,0,1,1,-0.0554728815622295,1,2,2,1,1,1,1,1,1,2,0,3,-1.3084680044106054,-0.6744768069118204
1,0,0,0,-1.117716724040405,1,0,0,2,0,0,2,0,0,0,1,3,-0.3053714388482402,-0.8904333226444225
1,0,0,0,-0.6683058676073308,1,0,2,1,1,1,1,1,1,0,1,3,-1.510759145132349,-0.857088558269052
1,0,0,0,0.8024932989009121,1,2,1,0,0,2,0,0,2,2,1,1,0.8214403698001502,1.0147039904019324
1,0,0,0,-1.281138853652432,1,0,2,1,1,1,1,1,1,0,0,3,-1.507415489913808,-0.999660075664606
1,0,1,1,-0.0146173491592227,1,0,1,0,0,0,0,0,0,0,1,0,0.1627402917475302,0.0292325146905993
0,0,0,0,-0.1780394787712498,1,0,0,0,2,0,2,0,0,0,0,0,-0.3421516462521936,-0.3377587687727237
1,0,1,1,0.7207822340948987,1,2,1,0,2,0,2,2,2,0,0,2,1.2979112384422735,1.2327155512550845
0,1,1,0,0.8842043637069257,1,0,2,1,1,1,1,1,1,2,1,3,-1.5358365592714085,-0.5527209078340922
1,0,0,0,0.9659154285129392,1,0,0,2,0,2,0,0,0,1,0,3,-0.4073529230137472,0.3261312914616258
0,0,0,0,-0.30060607598027,1,0,0,2,2,2,2,2,0,1,0,3,0.3148766041911556,-0.1847131504401746
1,0,1,1,-0.9134390620253712,1,0,0,0,2,0,0,0,0,1,0,3,-0.5126780623977958,-0.7981772648132945
1,0,0,1,-1.117716724040405,1,0,0,0,0,0,2,0,0,0,1,0,-0.5427709593646667,-0.9044650823384984
0,1,0,0,-1.281138853652432,1,0,1,0,2,0,0,0,2,0,1,2,0.7060842647604781,-0.970403304270974
1,1,0,0,-0.5457392703983105,1,2,1,2,0,0,0,2,0,0,1,2,0.859892404813374,-0.2747815795945885
